Id,Bedrooms,Bathrooms,Sqft,Condition,Zip Code,Latitude,Longitude,Pricing,Area,Features,Rent 
2,3,3,2206,Good,390007,22.28706,73.12825,30000,Vasna-Bhayli Road,"Lift,Security/Fire Alarm,Reserved Parking",30000
3,3,3,1400,Good,390011,22.273439,73.196983,16000,Manjalpur,Reserved Parking,16000
4,1,1,1000,Good,390020,22.293989,73.176109,14000,Akota,Reserved Parking,14000
5,3,2,1700,Excellent ,390018,22.320009,73.206841,3000,Karelibaug,"Private Garden,Water Storage",3000
6,1,1,850,Good,390003,30.912939,77.516777,3000,Gorwa,Reserved Parking,3000
7,1,1,500,Good,390021,22.308994,73.132439,3500,Gotri,"Reserved Parking,Water Storage",3500
8,1,1,1000,Good,390021,22.308994,73.132439,3500,Gotri,"Reserved Parking,Security",3500
9,1,1,700,Good,390024,22.455036,73.192182,4000,Sama-Savli Road,Parking,4000
10,1,1,550,Good,390003,30.912939,77.516777,4000,Gorwa,"Park,Water Storage,Reserved Parking",4000
11,1,1,1200,Very Good,390020,22.293989,73.176109,4500,Akota,"Security,Reserved Parking",4500
12,1,1,1000,Good,390021,22.308994,73.132439,4500,Gotri,"Security,Reserved Parking",4500
13,1,1,600,Good,390014,22.247517,73.188065,4500,Makarpura,Reserved Parking,4500
14,1,1,1000,Good,390020,22.293989,73.176109,4500,Akota,"Security,Reserved Parking",4500
15,1,1,425,Very Good,390003,30.912939,77.516777,4500,Gorwa,"Reserved Parking,Centrally AC",4500
16,2,2,1000,Very Good,390009,22.255501,73.216438,5000,Tarsali,Reserved Parking,5000
17,1,1,700,Good,390020,22.293989,73.176109,5000,Akota,"Security,Reserved Parking",5000
18,1,1,1000,Good,390020,22.293989,73.176109,5000,Akota,Reserved Parking,5000
19,1,1,700,Good,390003,30.912939,77.516777,5500,Gorwa,Reserved Parking,5500
20,1,1,800,Good,390021,22.308994,73.132439,5500,Gotri,Reserved Parking,5500
21,2,1,556,Excellent ,390014,22.247517,73.188065,5500,Makarpura,"Security,Reserved Parking,Park,Lift",5500
22,1,1,1150,Very Good,390009,22.255501,73.216438,5500,Tarsali,"Security,Reserved Parking,Park,Water Storage",5500
23,1,1,600,Good,391740,22.34415,73.16609,5500,Channi Jakat Naka,Reserved Parking,5500
24,1,1,1200,Good,391740,22.34415,73.16609,5500,Channi Jakat Naka,Water Storage,5500
25,1,1,550,Good,390011,22.273439,73.196983,5500,Manjalpur,Reserved Parking,5500
26,1,1,1100,Very Good,390014,22.247517,73.188065,5500,Makarpura,Reserved Parking,5500
27,2,2,1000,Good,390014,22.247517,73.188065,6000,Makarpura,Reserved Parking,6000
28,2,2,1115,Good,390021,22.308994,73.132439,6000,Gotri,Reserved Parking,6000
29,1,1,750,Good,390003,30.912939,77.516777,6000,Gorwa,"Reserved Parking,Water Storage",6000
30,1,1,1000,Good,390014,22.247517,73.188065,6000,Makarpura,"Reserved Parking,Park",6000
31,1,1,750,Very Good,390003,30.912939,77.516777,6000,Gorwa,"Reserved Parking,Park",6000
32,1,1,650,Good,391740,22.34415,73.16609,6000,TP 13,Reserved Parking,6000
33,1,1,750,Good,390018,22.320009,73.206841,6000,Karelibaug,"Reserved Parking,Water Storage",6000
34,2,2,1000,Good,390021,22.308994,73.132439,6000,Gotri,Reserved Parking,6000
35,1,1,1000,Good,390021,22.308994,73.132439,6000,Gotri,"Security,Reserved Parking",6000
36,2,2,900,Good,390022,24.39711,84.474808,6000,Harni,"Security,Reserved Parking,Park,Lift",6000
37,2,2,900,Very Good,390007,22.28706,73.12825,6000,Bhayli Road,"Security,Reserved Parking,Park,Lift,Gym,Swimmin Pool",6000
38,1,1,600,Very Good,391410,28.560324,77.161728,6000,Vasant Vihar,"Security,Reserved Parking,Park,Lift,Water Storage",6000
39,2,2,800,Good,390007,22.28706,73.12825,6000,Bhayli Road,Reserved Parking,6000
40,1,1,750,Good,390003,30.912939,77.516777,6000,Gorwa,Reserved Parking,6000
41,1,1,1000,Good,390021,22.308994,73.132439,6000,Gotri,"Security,Reserved Parking",6000
42,1,1,650,Good,390018,22.320009,73.206841,6000,Karelibaug,Reserved Parking,6000
43,2,2,1021,Very Good,390021,22.308994,73.132439,6000,Gotri,"Security,Reserved Parking,Lift,Fire Alarm",6000
44,2,2,1015,Good,390021,22.308994,73.132439,6000,Gotri,"Reserved Parking,Centrally AC,Lift,Park",6000
45,1,1,1000,Good,390003,30.912939,77.516777,6000,Gorwa,Reserved Parking,6000
46,2,2,1112,Excellent ,390007,22.28706,73.12825,6500,Bhayli Road,"Security,Reserved Parking,Park,Lift",6500
47,1,1,1000,Good,390021,22.308994,73.132439,6500,Gotri,"Security,Reserved Parking",6500
48,2,2,1000,Good,390009,22.255501,73.216438,6500,Tarsali,Reserved Parking,6500
49,2,2,1350,Good,390009,22.255501,73.216438,6500,Tarsali,Reserved Parking,6500
50,1,1,850,Good,390021,22.308994,73.132439,6500,Gotri,Reserved Parking,6500
51,2,2,1000,Good,390009,22.255501,73.216438,6500,Tarsali,Reserved Parking,6500
52,1,1,1110,Good,390018,22.320009,73.206841,6500,Karelibaug,Reserved Parking,6500
53,2,2,1000,Very Good,390021,22.308994,73.132439,6500,Gotri,"Lift,Water Storage,Reserved Parking",6500
54,2,2,1066,Very Good,390007,22.28706,73.12825,6500,Bhayli Road,"Reserved Parking,Lift,Park,Gym",6500
55,2,2,1100,Very Good,390007,22.28706,73.12825,6500,Vasna-Bhayli Road,"Reserved Parking,Lift,Park,Gym",6500
